Coleta	Estacao	Tratamento	Ponto	Ponto	Profundidade	TeorH2O	AT	DP	DS	Ma	Mi	PTotal	RP	P_res	pH	K	Ca	Mg	H_Al	Al	SB	CTC	V	Ca_CTC	Mg_CTC	M_Sat_Al	Est_C	T_Ar	RH	WBT	Ab_Abs
4	Verao	ILPF	P5	P20	0.20-0.30	0.08	912.0	2.6	1.95	0.03	0.14	0.17		5	5.0	0.5	11	3	18	1	14.5	32.5	45	34	9	6	1.11	0.0	0.0	0.0	0
1	Primavera	Pasto	P1	P1	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.6	55.8	22.2	0
1	Primavera	Pasto	P1	P1	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.7	55.7	22.3	0
1	Primavera	Pasto	P1	P1	0.00-0.10	0.05	933.0	2.5	2.05	0.02	0.24	0.26		23	5.7	0.8	9	8	12	0	17.8	29.8	60	30	27	0	1.11	30.0	56.4	23.1	4
1	Primavera	Pasto	P1	P1	0.10-0.20	0.04	945.0	2.4	2.13	0.01	0.23	0.25		8	5.6	0.5	9	4	12	0	13.5	25.5	53	35	16	0	1.21	0.0	0.0	0.0	6
1	Primavera	Pasto	P1	P1	0.20-0.30	0.05	942.0	2.6	2.22	0.01	0.20	0.22		5	5.5	0.5	8	3	12	0	11.5	23.5	49	34	13	0	1.04	0.0	0.0	0.0	1
1	Primavera	Pasto	P2	P2	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.3	54.6	21.4	0
1	Primavera	Pasto	P2	P2	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.2	58.2	21.9	2
1	Primavera	Pasto	P2	P2	0.00-0.10	0.04	946.0	2.4	2.07	0.03	0.22	0.25		14	5.2	1.1	8	4	13	0	13.1	26.1	50	31	15	0	1.15	28.4	57.1	21.9	3
1	Primavera	Pasto	P2	P2	0.10-0.20	0.04	927.0	2.5	1.32	0.01	0.21	0.22		6	5.2	0.6	9	2	13	0	11.6	24.6	47	37	8	0	0.73	0.0	0.0	0.0	3
